"title","author","subject","abstract","date"
"what you use is what you get: unforced errors in studying cultural aspects in agile software development","michael neumann, klaus schmid, lars baumann","software engineering","context: cultural aspects are of high importance as they guide people's behaviour and thus, influence how people apply methods and act in projects. in recent years, software engineering research emphasized the need to analyze the challenges of specific cultural characteristics. investigating the influence of cultural characteristics is challenging due to the multi-faceted concept of culture. people's behaviour, their beliefs and underlying values are shaped by different layers of culture, e.g., regions, organizations, or groups. in this study, we focus on agile methods, which are agile approaches that focus on underlying values, collaboration and communication. thus, cultural and social aspects are of high importance for their successful use in practice. objective: in this paper, we address challenges that arise when using the model of cultural dimensions by hofstede to characterize specific cultural values. this model is often used when discussing cultural influences in software engineering. method: as a basis, we conducted an exploratory, multiple case study, consisting of two cases in japan and two in germany. contributions: in this study, we observed that cultural characteristics of the participants differed significantly from cultural characteristics that would typically be expected for people from the respective country. this drives our conclusion that for studies in empirical software engineering that address cultural factors, a case-specific analysis of the characteristics is needed.",2024-04-25
"a catalog of transformations to remove smells from natural language tests","manoel aranda, naelson oliveira, elvys soares, márcio ribeiro, davi romão, ullyanne patriota, rohit gheyi, emerson souza, ivan machado","software engineering","test smells can pose difficulties during testing activities, such as poor maintainability, non-deterministic behavior, and incomplete verification. existing research has extensively addressed test smells in automated software tests but little attention has been given to smells in natural language tests. while some research has identified and catalogued such smells, there is a lack of systematic approaches for their removal. consequently, there is also a lack of tools to automatically identify and remove natural language test smells. this paper introduces a catalog of transformations designed to remove seven natural language test smells and a companion tool implemented using natural language processing (nlp) techniques. our work aims to enhance the quality and reliability of natural language tests during software development. the research employs a two-fold empirical strategy to evaluate its contributions. first, a survey involving 15 software testing professionals assesses the acceptance and usefulness of the catalog's transformations. second, an empirical study evaluates our tool to remove natural language test smells by analyzing a sample of real-practice tests from the ubuntu os. the results indicate that software testing professionals find the transformations valuable. additionally, the automated tool demonstrates a good level of precision, as evidenced by a f-measure rate of 83.70%",2024-04-25
"legal aspects for software developers interested in generative ai applications","steffen herbold, brian valerius, anamaria mojica-hanke, isabella lex, joel mittel","software engineering","recent successes in generative artificial intelligence (genai) have led to new technologies capable of generating high-quality code, natural language, and images. the next step is to integrate genai technology into products, a task typically conducted by software developers. such product development always comes with a certain risk of liability. within this article, we want to shed light on the current state of two such risks: data protection and copyright. both aspects are crucial for genai. this technology deals with data for both model training and generated output. we summarize key aspects regarding our current knowledge that every software developer involved in product development using genai should be aware of to avoid critical mistakes that may expose them to liability claims.",2024-04-25
"fuzzy inference system for test case prioritization in software testing","aron karatayev, anna ogorodova, pakizar shamoi","software engineering","in the realm of software development, testing is crucial for ensuring software quality and adherence to requirements. however, it can be time-consuming and resource-intensive, especially when dealing with large and complex software systems. test case prioritization (tcp) is a vital strategy to enhance testing efficiency by identifying the most critical test cases for early execution. this paper introduces a novel fuzzy logic-based approach to automate tcp, using fuzzy linguistic variables and expert-derived fuzzy rules to establish a link between test case characteristics and their prioritization. our methodology utilizes two fuzzy variables - failure rate and execution time - alongside two crisp parameters: prerequisite test case and recently updated flag. our findings demonstrate the proposed system capacity to rank test cases effectively through experimental validation on a real-world software system. the results affirm the practical applicability of our approach in optimizing the tcp and reducing the resource intensity of software testing.",2024-04-25
"exploring human-ai collaboration in agile: customised llm meeting assistants","beatriz cabrero-daniel, tomas herda, victoria pichler, martin eder","software engineering","this action research study focuses on the integration of ""ai assistants"" in two agile software development meetings: the daily scrum and a feature refinement, a planning meeting that is part of an in-house scaled agile framework. we discuss the critical drivers of success, and establish a link between the use of ai and team collaboration dynamics. we conclude with a list of lessons learnt during the interventions in an industrial context, and provide a assessment checklist for companies and teams to reflect on their readiness level. this paper is thus a road-map to facilitate the integration of ai tools in agile setups.",2024-04-23
"open source software development tool installation: challenges and strategies for novice developers","larissa salerno, christoph treude, patanamon thongtatunam","software engineering","as the world of technology advances, so do the tools that software developers use to create new programs. in recent years, software development tools have become more popular, allowing developers to work more efficiently and produce higher-quality software. still, installing such tools can be challenging for novice developers at the early stage of their careers, as they may face challenges, such as compatibility issues (e.g., operating systems). therefore, this work aims to investigate the challenges novice developers face in software development when installing software development tools. to investigate these, we conducted an analysis of 24 live software installation sessions to observe challenges and comprehend their actions, the strategies they apply, and the type of source of information they consult when encountering challenges. our findings show that unclear documentation, such as installation instructions, and inadequate feedback during the installation process are common challenges faced by novice developers. moreover, reformulating search queries and relying on non-official documentation were some of the strategies employed to overcome challenges. based on our findings, we provide practical recommendations for tool vendors, tool users, and researchers.",2024-04-23
"llms in web-development: evaluating llm-generated php code unveiling vulnerabilities and limitations","rebeka tóth, tamas bisztray, lászló erdodi","software engineering","this research carries out a comprehensive examination of web application code security, when generated by large language models through analyzing a dataset comprising 2,500 small dynamic php websites. these ai-generated sites are scanned for security vulnerabilities after being deployed as standalone websites in docker containers. the evaluation of the websites was conducted using a hybrid methodology, incorporating the burp suite active scanner, static analysis, and manual checks. our investigation zeroes in on identifying and analyzing file upload, sql injection, stored xss, and reflected xss. this approach not only underscores the potential security flaws within ai-generated php code but also provides a critical perspective on the reliability and security implications of deploying such code in real-world scenarios. our evaluation confirms that 27% of the programs generated by gpt-4 verifiably contains vulnerabilities in the php code, where this number -- based on static scanning and manual verification -- is potentially much higher. this poses a substantial risks to software safety and security. in an effort to contribute to the research community and foster further analysis, we have made the source codes publicly available, alongside a record enumerating the detected vulnerabilities for each sample. this study not only sheds light on the security aspects of ai-generated code but also underscores the critical need for rigorous testing and evaluation of such technologies for software development.",2024-04-21
"assessing gpt-4-vision's capabilities in uml-based code generation","gábor antal, richárd vozár, rudolf ferenc","software engineering","the emergence of advanced neural networks has opened up new ways in automated code generation from conceptual models, promising to enhance software development processes. this paper presents a preliminary evaluation of gpt-4-vision, a state-of-the-art deep learning model, and its capabilities in transforming unified modeling language (uml) class diagrams into fully operating java class files. in our study, we used exported images of 18 class diagrams comprising 10 single-class and 8 multi-class diagrams. we used 3 different prompts for each input, and we manually evaluated the results. we created a scoring system in which we scored the occurrence of elements found in the diagram within the source code. on average, the model was able to generate source code for 88% of the elements shown in the diagrams. our results indicate that gpt-4-vision exhibits proficiency in handling single-class uml diagrams, successfully transforming them into syntactically correct class files. however, for multi-class uml diagrams, the model's performance is weaker compared to single-class diagrams. in summary, further investigations are necessary to exploit the model's potential completely.",2024-04-22
"llamp: assessing network latency tolerance of hpc applications with linear programming","siyuan shen, langwen huang, marcin chrapek, timo schneider, jai dayal, manisha gajbe, robert wisniewski, torsten hoefler","distributed, parallel, and cluster computing","the shift towards high-bandwidth networks driven by ai workloads in data centers and hpc clusters has unintentionally aggravated network latency, adversely affecting the performance of communication-intensive hpc applications. as large-scale mpi applications often exhibit significant differences in their network latency tolerance, it is crucial to accurately determine the extent of network latency an application can withstand without significant performance degradation. current approaches to assessing this metric often rely on specialized hardware or network simulators, which can be inflexible and time-consuming. in response, we introduce llamp, a novel toolchain that offers an efficient, analytical approach to evaluating hpc applications' network latency tolerance using the loggps model and linear programming. llamp equips software developers and network architects with essential insights for optimizing hpc infrastructures and strategically deploying applications to minimize latency impacts. through our validation on a variety of mpi applications like milc, lulesh, and lammps, we demonstrate our tool's high accuracy, with relative prediction errors generally below 2%. additionally, we include a case study of the icon weather and climate model to illustrate llamp's broad applicability in evaluating collective algorithms and network topologies.",2024-04-22
"teaching scrum with a focus on compliance assessment","marco torchiano, antonio vetrò, riccardo coppola","software engineering","the scrum framework has gained widespread adoption in the industry for its emphasis on collaboration and continuous improvement. however, it has not reached a similar relevance in software engineering (se) curricula. this work reports the experience of five editions of a se course within an msc. degree in computer engineering. the course primary educational objective is to provide students with the skills to manage software development projects with scrum. the course is based on the execution of a team project and on the definition of qualitative and quantitative means of assessment of the application of scrum. the conduction of five editions of the course allowed us to identify several lessons learned about time budgeting and team compositions in agile student projects and its evidence of the applicability of the framework to software development courses.",2024-04-22
"utilizing deep learning to optimize software development processes","keqin li, armando zhu, wenjing zhou, peng zhao, jintong song, jiabei liu","software engineering","this study explores the application of deep learning technologies in software development processes, particularly in automating code reviews, error prediction, and test generation to enhance code quality and development efficiency. through a series of empirical studies, experimental groups using deep learning tools and control groups using traditional methods were compared in terms of code error rates and project completion times. the results demonstrated significant improvements in the experimental group, validating the effectiveness of deep learning technologies. the research also discusses potential optimization points, methodologies, and technical challenges of deep learning in software development, as well as how to integrate these technologies into existing software development workflows.",2024-04-21
"paths to testing: why women enter and remain in software testing?","kleice silva, ann barcomb, ronnie de souza santos","software engineering","background. women bring unique problem-solving skills to software development, often favoring a holistic approach and attention to detail. in software testing, precision and attention to detail are essential as professionals explore system functionalities to identify defects. recognizing the alignment between these skills and women's strengths can derive strategies for enhancing diversity in software engineering. goal. this study investigates the motivations behind women choosing careers in software testing, aiming to provide insights into their reasons for entering and remaining in the field. method. this study used a cross-sectional survey methodology following established software engineering guidelines, collecting data from women in software testing to explore their motivations, experiences, and perspectives. findings. the findings reveal that women enter software testing due to increased entry-level job opportunities, work-life balance, and even fewer gender stereotypes. their motivations to stay include the impact of delivering high-quality software, continuous learning opportunities, and the challenges the activities bring to them. however, inclusiveness and career development in the field need improvement for sustained diversity. conclusion. preliminary yet significant, these findings offer interesting insights for researchers and practitioners towards the understanding of women's diverse motivations in software testing and how this understanding is important for fostering professional growth and creating a more inclusive and equitable industry landscape.",2024-04-20
"exploring hybrid work realities: a case study with software professionals from underrepresented groups","ronnie de souza santos, cleyton magalhes, robson santons, jorge correia-neto","software engineering","context. in the post-pandemic era, software professionals resist returning to office routines, favoring the flexibility gained from remote work. hybrid work structures, then, become popular within software companies, allowing them to choose not to work in the office every day, preserving flexibility, and creating several benefits, including an increase in the support for underrepresented groups in software development. goal. we investigated how software professionals from underrepresented groups are experiencing post-pandemic hybrid work. in particular, we analyzed the experiences of neurodivergents, lgbtqia+ individuals, and people with disabilities working in the software industry. method. we conducted a case study focusing on the underrepresented groups within a well-established south american software company. results. hybrid work is preferred by software professionals from underrepresented groups in the post-pandemic era. advantages include improved focus at home, personalized work setups, and accommodation for health treatments. concerns arise about isolation and inadequate infrastructure support, highlighting the need for proactive organizational strategies. conclusions. hybrid work emerges as a promising strategy for fostering diversity and inclusion in software engineering, addressing past limitations of the traditional office environment.",2024-04-20
"the visual debugger tool","tim kräuter, harald könig, adrian rutle, yngve lamo","software engineering","debugging is an essential part of software maintenance and evolution since it allows software developers to analyze program execution step by step. understanding a program is required to fix potential flaws, alleviate bottlenecks, and implement new desired features. thus, software developers spend a large percentage of their time validating and debugging software, resulting in high software maintenance and evolution cost. we aim to reduce this cost by providing a novel visual debugging tool to software developers to foster program comprehension during debugging. our debugging tool visualizes program execution information graphically as an object diagram and is fully integrated into the popular java development environment intellij idea. moreover, the object diagram allows interactions to explore program execution information in more detail. a demonstration of our tool is available at this https url.",2024-04-19
"a machine learning-based error mitigation approach for reliable software development on ibm's quantum computers","asmar muqeet, shaukat ali, tao yue, paolo arcaini","software engineering","quantum computers have the potential to outperform classical computers for some complex computational problems. however, current quantum computers (e.g., from ibm and google) have inherent noise that results in errors in the outputs of quantum software executing on the quantum computers, affecting the reliability of quantum software development. the industry is increasingly interested in machine learning (ml)--based error mitigation techniques, given their scalability and practicality. however, existing ml-based techniques have limitations, such as only targeting specific noise types or specific quantum circuits. this paper proposes a practical ml-based approach, called q-lear, with a novel feature set, to mitigate noise errors in quantum software outputs. we evaluated q-lear on eight quantum computers and their corresponding noisy simulators, all from ibm, and compared q-lear with a state-of-the-art ml-based approach taken as baseline. results show that, compared to the baseline, q-lear achieved a 25% average improvement in error mitigation on both real quantum computers and simulators. we also discuss the implications and practicality of q-lear, which, we believe, is valuable for practitioners.",2024-04-19
"how far are ai-powered programming assistants from meeting developers' needs?","xin tan, xiao long, xianjun ni, yinghao zhu, jing jiang, li zhang","software engineering","recent in-ide ai coding assistant tools (acats) like github copilot have significantly impacted developers' coding habits. while some studies have examined their effectiveness, there lacks in-depth investigation into the actual assistance process. to bridge this gap, we simulate real development scenarios encompassing three typical types of software development tasks and recruit 27 computer science students to investigate their behavior with three popular acats. our goal is to comprehensively assess acats' effectiveness, explore characteristics of recommended code, identify reasons for modifications, and understand users' challenges and expectations. to facilitate the study, we develop an experimental platform that includes a data collection plugin for vscode ide and provides functions for screen recording, code evaluation, and automatic generation of personalized interview and survey questions. through analysis of the collected data, we find that acats generally enhance task completion rates, reduce time, improve code quality, and increase self-perceived productivity. however, the improvement is influenced by both the nature of coding tasks and users' experience level. notably, for experienced participants, the use of acats may even increase completion time. we observe that ""edited line completion"" is the most frequently recommended way, while ""comments completion"" and ""string completion"" have the lowest acceptance rates. the primary reasons for modifying recommended code are disparities between output formats and requirements, flawed logic, and inconsistent code styles. in terms of challenges and expectations, optimization of service access and help documentation is also concerned by participants except for functionality and performance. our study provides valuable insights into the effectiveness and usability of acats, informing further improvements in their design and implementation.",2024-04-18
"from language models to practical self-improving computer agents","alex sheng","artificial intelligence","we develop a simple and straightforward methodology to create ai computer agents that can carry out diverse computer tasks and self-improve by developing tools and augmentations to enable themselves to solve increasingly complex tasks. as large language models (llms) have been shown to benefit from non-parametric augmentations, a significant body of recent work has focused on developing software that augments llms with various capabilities. rather than manually developing static software to augment llms through human engineering effort, we propose that an llm agent can systematically generate software to augment itself. we show, through a few case studies, that a minimal querying loop with appropriate prompt engineering allows an llm to generate and use various augmentations, freely extending its own capabilities to carry out real-world computer tasks. starting with only terminal access, we prompt an llm agent to augment itself with retrieval, internet search, web navigation, and text editor capabilities. the agent effectively uses these various tools to solve problems including automated software development and web-based tasks.",2024-04-18
"rethinking software engineering in the foundation model era: from task-driven ai copilots to goal-driven ai pair programmers","ahmed e. hassan, gustavo a. oliva, dayi lin, boyuan chen, zhen ming (jack)jiang","software engineering","the advent of foundation models (fms) and ai-powered copilots has transformed the landscape of software development, offering unprecedented code completion capabilities and enhancing developer productivity. however, the current task-driven nature of these copilots falls short in addressing the broader goals and complexities inherent in software engineering (se). in this paper, we propose a paradigm shift towards goal-driven ai-powered pair programmers that collaborate with human developers in a more holistic and context-aware manner. we envision ai pair programmers that are goal-driven, human partners, se-aware, and self-learning. these ai partners engage in iterative, conversation-driven development processes, aligning closely with human goals and facilitating informed decision-making. we discuss the desired attributes of such ai pair programmers and outline key challenges that must be addressed to realize this vision. ultimately, our work represents a shift from ai-augmented se to ai-transformed se by replacing code completion with a collaborative partnership between humans and ai that enhances both productivity and software quality.",2024-04-16
"hybrid work meets agile software development: a systematic mapping study","dron khanna, emily laue christensen, saagarika gosu, xiaofeng wang, maria paasivaara","software engineering","hybrid work, a fusion of different work environments that allow employees to work in and outside their offices, represents a new frontier for agile researchers to explore. however, due to the nascent nature of the research phenomena, we are yet to achieve a good understanding of the research terrain formulated when hybrid work meets agile software development. this systematic mapping study, we aimed to provide a good understanding of this emerging research area. the systematic process we followed led to a collection of 12 primary studies, which is less than what we expected. all the papers are empirical studies, with most of them employing case studies as the research methodology. the people-centric nature of agile methods is yet to be adequately reflected in the studies in this area. similarly, there is a lack of a richer understanding of hybrid work in terms of flexible work arrangements. our mapping study identified various research opportunities that can be explored in future research.",2024-04-15
"software development in the age of llms and xr","jesus m. gonzalez-barahona","software engineering","let's imagine that in a few years generative ai has changed software development dramatically, taking charge of most of the programming tasks. let's also assume that extended reality devices became ubiquitous, being the preferred interface for interacting with computers. this paper proposes how this situation would impact ides, by exploring how the development process would be affected, and analyzing which tools would be needed for supporting developers.",2024-04-15
"julia as a universal platform for statistical software development","david roodman","econometrics","like python and java, which are integrated into stata, julia is a free programming language that runs on all major operating systems. the julia package links stata to julia as well. users can transfer data between stata and julia at high speed, issue julia commands from stata to analyze and plot, and pass results back to stata. julia's econometric software ecosystem is not as mature as stata's or r's, or even python's. but julia is an excellent environment for developing high-performance numerical applications, which can then be called from many platforms. the boottest program for wild bootstrap-based inference (roodman et al. 2019) can call a julia back end for a 33-50% speed-up, even as the r package fwildclusterboot (fischer and roodman 2021) uses the same back end for inference after instrumental variables estimation. reghdfejl mimics reghdfe (correia 2016) in fitting linear models with high-dimensional fixed effects but calls an independently developed julia package for tenfold acceleration on hard problems. reghdfejl also supports nonlinear models--preliminarily, as the julia package for that purpose matures.",2024-04-14
"oss myths and facts","yukako iimura, masanari kondo, kazushi tomoto, yasutaka kamei, naoyasu ubayashi, shinobu saito","software engineering","we have selected six myths about the oss community and have tested whether they are true or not. the purpose of this report is to identify the lessons that can be learned from the development style of the oss community and the issues that need to be addressed in order to achieve better employee experience (ex) in software development within companies and organizations. the oss community has been led by a group of skilled developers known as hackers. we have great respect for the engineers and activities of the oss community and aim to learn from them. on the other hand, it is important to recognize that having high expectations can sometimes result in misunderstandings. when there are excessive expectations and concerns, misunderstandings (referred to as myths) can arise, particularly when individuals who are not practitioners rely on hearsay to understand the practices of practitioners. we selected the myths to be tested based on a literature review and interviews. these myths are held by software development managers and customers who are not direct participants in the oss community. we answered questions about each myth through: 1) our own analysis of repository data, 2) a literature survey of data analysis conducted by previous studies, or 3) a combination of the two approaches.",2024-04-14
